Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
13709,0,-0.10192179632686915,0,1.1028275573919206,0,0.03310902755150512,0,3.155457378766875,0,0
13745,0,-0.10050059104988385,0,1.044573276054036,0,0.014925473651113564,0,2.6812775031729865,0,0
14337,0,-0.1325552732753641,0,1.037562178613806,0,0.015585984294122425,0,3.224361386839505,0,0
15531,0,-0.09274100431681254,0,1.2527443036666264,0,0.07445129248757242,0,2.386737945554848,0,0
15546,0,-0.15889490439675535,0,0.9593572265455066,0,0.027334861905721163,0,1.1266718105474902,0,0
15553,0,-0.09357976223167747,0,1.0778643055720796,0,0.026405015583172653,1,4.128115606054988,1,0
15939,0,-0.14438127765163405,0,0.983313800245875,0,0.024441403565478772,0,1.9448382421727384,0,0
15965,0,-0.16347269764126787,0,0.9653854611860819,0,0.007144083743177669,0,0.7210399563597919,0,0
16003,0,-0.09752933306913347,0,1.1850042544766644,0,0.08376196656526107,0,1.7876851149935633,0,0
16115,0,-0.13964706897899148,0,1.0066308909189856,0,0.04158133438813681,0,1.2865463394200385,0,0
16116,0,-0.13048945985100735,0,1.043528711902985,0,0.0228178042224568,0,2.9755055731255027,0,0
16181,0,-0.020385505982465135,0,1.0376493938908702,0,0.06442589904732411,1,7.907801496506415,1,0
16562,0,-0.10788907873347764,0,1.0816738361316527,0,0.029140638675996807,0,2.101430642094524,0,0
16686,0,-0.08639192946292096,0,1.3071325575244725,0,0.09098547714006801,1,5.112330015246801,1,0
17432,0,-0.029219880965128397,0,1.059032276180176,1,0.1684036390821026,1,4.770717817228339,2,1
17581,0,-0.10067071543374245,0,1.140346357611287,0,0.08597543077994352,0,1.972949147879825,0,0
18752,0,-0.16275978305603955,0,0.9767338108540191,0,0.039213404324032225,0,0.7847382971970461,0,0
18996,0,-0.0339401958886959,0,1.0560507114618676,1,0.2345779683368299,1,4.932491577320671,2,1
19395,0,-0.15332248843272217,0,0.9831254499785074,0,0.02003626316236106,0,2.1258430638494685,0,0
21307,0,-0.13641051462307163,0,1.0178147943811682,0,0.08776738477364336,0,1.4298620112626028,0,0
21803,0,-0.1338693912630976,0,1.054338780098246,0,0.08967758048824334,0,1.9660152875090608,0,0
22188,0,-0.09535245298616557,0,1.2793689548305067,0,0.06247665673362411,0,1.948483516763206,0,0
25670,0,-0.1496463474264898,0,1.0027398995288213,0,0.008669067619690319,0,1.8528430092994042,0,0
27189,0,-0.11348973158520953,0,1.1787624550351747,0,0.015196938441434285,1,5.088218944624986,1,0
27982,0,-0.15642056572036078,0,0.9717186828058025,0,0.024072023948540563,0,1.1887430063272082,0,0
29393,0,-0.09208118359782153,0,1.1355278448079713,0,0.04456031558404349,0,2.138177972287005,0,0
29732,0,-0.12037042275420029,0,1.0673384140529445,0,0.028716395605807365,0,2.276739078324224,0,0
30479,0,-0.10678781987528757,0,1.0482091302907341,0,0.06486299682282627,0,1.8349629451529765,0,0
30773,0,-0.12887749047217223,0,1.070399768082836,0,0.03757615994162799,0,2.299190217430127,0,0
31070,0,-0.007417154940682957,0,0.9989207515186116,0,0.021959013966410482,1,7.9293415174766375,1,0
31657,0,-0.126890670229998,0,1.0514784977692222,0,0.015170395085290014,0,2.024227419573734,0,0
32154,0,-0.09539447791126354,0,1.1343319690160072,0,0.13426352938165173,0,2.151372693834385,0,0
32490,0,-0.12057641675239816,0,1.0452810650259388,0,0.048670962489801246,0,2.698165713596838,0,0
32872,0,-0.13298332156568632,0,1.0410650580928036,0,0.01464590652538531,0,1.2991191128571082,0,0
33360,0,-0.09555973904362541,0,1.131494295169008,0,0.01620811076339658,0,1.641012998822644,0,0
33500,0,-0.09718722077275693,0,1.1079671497069068,0,0.03945523431767247,0,2.3519830650127465,0,0
33565,0,-0.15108532027675553,0,0.9780812820056102,0,0.025537097423964733,0,1.0277831079338076,0,0
33775,0,-0.008633016377174285,0,1.2490577020697473,0,0.019973751718444427,0,2.572274480029737,0,0
34468,1,0.0025931004119247314,0,1.083201650166057,1,0.33571865883665664,1,5.25519162463185,3,1
34469,0,-0.07526107343675909,0,1.0513251569531792,0,0.00734813289296431,1,4.3163707323714355,1,0
