Code,float_gauss1_core_min,float_gauss1_core_std,float_gauss2_core_min,float_gauss2_core_max,float_gauss2_core_mean,float_gauss2_core_std,float_repulsion_core_min,float_repulsion_core_max,float_repulsion_core_mean,float_repulsion_core_std,float_hydrophobic_core_max,float_hydrophobic_core_mean,float_gauss1_shell1_min,float_gauss2_shell1_max,float_gauss2_shell1_std,float_repulsion_shell1_min,float_hydrophobic_shell1_max
15939,-8.659810066,0.4792502522,-328.8522339,0.8935700059,-0.6104864478,11.01827526,-1.229732037,0.1581870019,-0.003223421285,0.04872914031,5.718329906,0.01857172698,-7.051929951,1.475119948,1.996392131,-1.495185971,2.373548985
15965,-8.801309586,0.4867247641,-296.0432434,1.742082,-0.4875823557,9.370079994,-2.805496931,1.318670034,-0.004509035964,0.1018604562,6.459209919,0.01893729903,-7.085909843,1.475119948,2.72657156,-1.499727011,2.395605087
16003,-8.937519073,0.4644593298,-378.9862366,2.236531019,-0.5084725022,11.28516579,-1.555835009,0.1671620011,-0.00476264162,0.07297776639,6.124249935,0.01894507185,-6.603980064,1.475119948,3.695560217,-1.361611962,2.561386108
16115,-8.623009682,0.4772368371,-280.5482178,1.645717025,-0.4042735398,8.399341583,-1.808876038,1.653625965,-0.003324617632,0.08364344388,5.90335989,0.01925626956,-7.344600201,1.475119948,2.112996578,-1.539628029,2.406946898
16116,-8.710709572,0.4835188985,-321.1792297,1.614135027,-0.3425834775,8.94699955,-2.736495018,3.193406105,-0.003036028473,0.1325137317,6.439239979,0.01902719215,-7.314070225,1.475119948,3.004859686,-1.507367015,2.327610016
16181,-8.568499565,0.4762331545,-191.131424,0.8935700059,-0.3623483181,6.877980232,-3.712500095,0.1581870019,-0.008771490306,0.1482348442,5.91862011,0.01733332686,-8.841095924,2.076539993,0.03390525281,-1.478641987,2.327610016
16562,-8.738459587,0.4768915176,-483.1322327,1.804177999,-0.7768195271,15.97131252,-4.762710094,0.6412249804,-0.007878139615,0.1593579799,6.137579918,0.01844322868,-6.528029919,1.475119948,4.840714455,-1.440569043,2.540874958
16686,-7.825660229,0.4570689201,-177.5162354,0.8935700059,-0.3284358978,6.367047787,-1.063130021,1.432533026,-0.000632643234,0.06839431822,6.207479954,0.01972752996,-6.951459885,1.475119948,1.621783137,-1.494622946,2.555243015
17432,-8.90431881,0.524046123,-188.7822876,1.562839985,-0.4199118018,8.045107841,-1.442311049,0.9140729904,-0.003903233213,0.07252707332,6.118330002,0.01928261854,-8.14066124,2.076539993,0.03390525281,-1.489689946,2.327610016
17581,-8.834604263,0.4762919843,-278.7158203,3.29756999,-0.7331825495,13.35557652,-2.120657921,2.116535902,-0.003972989041,0.1055100113,6.768640041,0.01956518926,-6.884530067,1.475119948,1.189091086,-1.313732028,2.352488995
18752,-8.657409668,0.4726426601,-443.7612305,0.8935700059,-0.5198619962,12.73996639,-2.531676054,0.7591969967,-0.005041155498,0.09546568245,6.558650017,0.01875149272,-7.004089832,1.475119948,3.188433886,-1.52711904,2.524641037
18996,-8.570929527,0.5266472697,-186.5662842,1.784335017,-0.5168653727,8.941468239,-2.791848898,0.1581870019,-0.006520117633,0.1091614813,6.678110123,0.0201147832,-8.184336662,1.475119948,0.1761643589,-1.415032029,2.327610016
19395,-8.808549881,0.4765119553,-292.2478333,1.978011012,-0.6989791393,13.40489483,-1.458413959,2.486855984,-0.000852571975,0.09040871263,6.265140057,0.01849344,-6.99255991,1.475119948,2.371148825,-1.55233705,2.46518898
21307,-8.787879944,0.4848935902,-256.8452148,0.8935700059,-0.4368825257,8.700094223,-3.04675293,1.024853945,-0.006185161881,0.1244342029,6.629149914,0.01988113485,-7.378479958,1.475119948,1.929638863,-1.514973044,2.373236895
21803,-8.690649986,0.4703985453,-264.3152161,2.184546947,-0.4890755713,9.569828987,-2.778398037,0.205911994,-0.006177572999,0.1100902855,5.537610054,0.01721944287,-7.230020046,1.475119948,2.424017906,-1.505926013,2.381920099
22188,-8.99057579,0.50139606,-357.2392273,1.969269991,-0.9160806537,16.23285675,-4.160220146,0.1581870019,-0.008130824193,0.1370131373,6.497230053,0.01988331228,-7.024819851,1.475119948,3.494249821,-1.581892967,2.639858007
25670,-8.707889557,0.4818654656,-374.3842163,0.8935700059,-0.5530896783,11.38410759,-4.371409893,0.7065060139,-0.008907949552,0.1741143167,5.962500095,0.01782218367,-7.004109859,1.475119948,3.593810797,-1.486608028,2.445462942
27189,-8.715189934,0.479360193,-260.6342163,1.575024962,-0.3893053532,8.105555534,-2.69904995,4.950265884,-0.0007152903127,0.1623356789,6.727499962,0.01971283555,-6.970699787,1.475119948,1.905963659,-1.502267003,2.555818081
27982,-8.718460083,0.4760578573,-404.8392334,2.17327404,-0.8558169007,14.84012604,-2.32200098,0.5898330212,-0.006268255878,0.1009460017,6.224140167,0.0182851851,-7.067969799,1.475119948,3.081821918,-1.45569694,2.376833916
29393,-8.736989975,0.4593651891,-200.0692291,0.8935700059,-0.2882524431,5.91827774,-2.040143013,1.72221601,-0.004203718156,0.09598203748,6.270229816,0.01822699979,-6.686699867,1.475119948,1.869460702,-1.601595998,2.613698959
29732,-8.54349041,0.4784899652,-613.472229,1.741554022,-0.7877501249,17.77493286,-2.220688105,2.61233592,-0.003579915268,0.1122608036,6.20235014,0.0195039846,-6.900559902,1.475119948,4.710640907,-1.389340997,2.508189917
30479,-8.664770126,0.4869707525,-364.6678162,3.18317008,-0.7184554338,14.06254959,-1.954481959,0.6797509789,-0.003716997104,0.07385902107,6.246669769,0.01936938427,-7.245769978,1.475119948,2.389981508,-1.325981021,2.327610016
30773,-8.417770386,0.4788746536,-296.9102173,2.080075979,-0.5976682305,10.48946762,-2.719207048,0.4317420125,-0.004638253246,0.09300664812,7.199719906,0.01989174448,-7.289239883,1.475119948,2.019715071,-1.420361996,2.469279051
31070,-9.207278252,0.5433185697,-191.6248322,2.597769976,-0.447296381,7.86376524,-3.042932034,0.1581870019,-0.007510629483,0.1222393587,6.372610092,0.01890068501,-8.845772743,2.076539993,0.03390525281,-1.480999947,2.327610016
31657,-8.782179832,0.4942967594,-251.0842285,0.8935700059,-0.4141734838,7.908881664,-2.118798971,2.402355909,-0.00350406277,0.1143402904,6.203380108,0.01852544211,-7.398479939,1.475119948,2.372434855,-1.461541057,2.327610016
32154,-8.838007927,0.4813102782,-517.7192383,3.723056078,-0.8109452128,17.20654678,-1.261962056,2.355875969,-0.001492867479,0.08541157097,6.393189907,0.01866751164,-7.084400177,1.475119948,4.803244114,-1.645195007,2.405155897
32490,-8.856104851,0.4720819294,-322.3788452,2.191952944,-0.8013635278,13.09854412,-1.324506044,2.781316042,0.001664374257,0.1022930518,6.303989887,0.0191839952,-6.749129772,1.475119948,2.068549156,-1.491670012,2.548919916
32872,-8.72189045,0.4777622521,-250.5888367,1.613816023,-0.4983733892,9.764064789,-3.726469994,0.1581870019,-0.007504467387,0.1260468066,6.504389763,0.0187163502,-6.722249985,1.475119948,1.338466287,-1.422595024,2.574409008
